Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
23,permit,500,Ex7c,8716660702800,8722665562500,6004859700
24,permit,500,Ex7c,8722665680500,8728747412000,6081731500
25,permit,500,Ex7c,8728747533000,8734915632500,6168099500
1,permit,1000,Ex7c,8734915776200,8746945955600,12030179400
2,permit,1000,Ex7c,8746946102700,8759156709299,12210606599
3,permit,1000,Ex7c,8759156856300,8771677406000,12520549700
4,permit,1000,Ex7c,8771677525900,8783760174499,12082648599
5,permit,1000,Ex7c,8783760289600,8796219747900,12459458300
6,permit,1000,Ex7c,8796219855700,8808360615800,12140760100
7,permit,1000,Ex7c,8808360721700,8820784158600,12423436900
8,permit,1000,Ex7c,8820784272000,8832980665400,12196393400
9,permit,1000,Ex7c,8832980767700,8845322465100,12341697400
10,permit,1000,Ex7c,8845322589800,8857643879700,12321289900
11,permit,1000,Ex7c,8857644021300,8869910188800,12266167500
12,permit,1000,Ex7c,8869910290400,8882327383300,12417092900
13,permit,1000,Ex7c,8882327500000,8894604197100,12276697100
14,permit,1000,Ex7c,8894604297000,8906836595800,12232298800
15,permit,1000,Ex7c,8906836696100,8919323017300,12486321200
16,permit,1000,Ex7c,8919323117500,8931592765700,12269648200
17,permit,1000,Ex7c,8931592865700,8944077921200,12485055500
18,permit,1000,Ex7c,8944078036000,8956387957000,12309921000
19,permit,1000,Ex7c,8956388093000,8968671852500,12283759500
20,permit,1000,Ex7c,8968671952600,8981280386500,12608433900
21,permit,1000,Ex7c,8981280489000,8993643984100,12363495100
22,permit,1000,Ex7c,8993644106100,9006000970300,12356864200
23,permit,1000,Ex7c,9006001093600,9018712034500,12710940900
24,permit,1000,Ex7c,9018712137100,9031141369500,12429232400
25,permit,1000,Ex7c,9031141476500,9043737063600,12595587100
1,permit,2000,Ex7c,9043737191300,9069463682000,25726490700
2,permit,2000,Ex7c,9069463821100,9094773935000,25310113900
3,permit,2000,Ex7c,9094774047800,9120105602800,25331555000
4,permit,2000,Ex7c,9120105719800,9145519965700,25414245900
5,permit,2000,Ex7c,9145520089500,9171057078500,25536989000
6,permit,2000,Ex7c,9171057182200,9196694938200,25637756000
7,permit,2000,Ex7c,9196695070300,9222384919200,25689848900
8,permit,2000,Ex7c,9222385034600,9248404727900,26019693300
9,permit,2000,Ex7c,9248404837200,9274112542900,25707705700
10,permit,2000,Ex7c,9274112646800,9299880585700,25767938900
11,permit,2000,Ex7c,9299880717100,9325888369200,26007652100
12,permit,2000,Ex7c,9325888475400,9355274689200,29386213800
13,permit,2000,Ex7c,9355274798600,9381528974600,26254176000
14,permit,2000,Ex7c,9381529081800,9407683280200,26154198400
15,permit,2000,Ex7c,9407683380400,9433576837000,25893456600
16,permit,2000,Ex7c,9433576942400,9459246422500,25669480100
