Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
7,permit,100,Ex7a,1581619742200,1581983196500,363454300
8,permit,100,Ex7a,1581983267000,1582356631400,373364400
9,permit,100,Ex7a,1582356730400,1582703810300,347079900
10,permit,100,Ex7a,1582703880000,1583051311900,347431900
11,permit,100,Ex7a,1583051386500,1583400902900,349516400
12,permit,100,Ex7a,1583400971800,1583747587400,346615600
13,permit,100,Ex7a,1583747656600,1584105478000,357821400
14,permit,100,Ex7a,1584105552800,1584473396700,367843900
15,permit,100,Ex7a,1584473466900,1584819639100,346172200
16,permit,100,Ex7a,1584819706600,1585160540200,340833600
17,permit,100,Ex7a,1585160607000,1585507649000,347042000
18,permit,100,Ex7a,1585507748200,1585857221000,349472800
19,permit,100,Ex7a,1585857298100,1586228424400,371126300
20,permit,100,Ex7a,1586228501900,1586597307900,368806000
21,permit,100,Ex7a,1586597376900,1586942624600,345247700
22,permit,100,Ex7a,1586942691200,1587294563100,351871900
23,permit,100,Ex7a,1587294641400,1587639714500,345073100
24,permit,100,Ex7a,1587639783600,1588028850800,389067200
25,permit,100,Ex7a,1588028992200,1588373096900,344104700
1,permit,200,Ex7a,1588373182100,1589061145900,687963800
2,permit,200,Ex7a,1589061250300,1589760431500,699181200
3,permit,200,Ex7a,1589760499100,1590457139000,696639900
4,permit,200,Ex7a,1590457206600,1591134759500,677552900
5,permit,200,Ex7a,1591134863000,1591816571600,681708600
6,permit,200,Ex7a,1591816678000,1592513377800,696699800
7,permit,200,Ex7a,1592513467900,1593192312500,678844600
8,permit,200,Ex7a,1593192430900,1593868842400,676411500
9,permit,200,Ex7a,1593868910400,1594551128700,682218300
10,permit,200,Ex7a,1594551193600,1595223630800,672437200
11,permit,200,Ex7a,1595223740200,1595908472000,684731800
12,permit,200,Ex7a,1595908538000,1596603012100,694474100
13,permit,200,Ex7a,1596603077500,1597282377400,679299900
14,permit,200,Ex7a,1597282447200,1597973640900,691193700
15,permit,200,Ex7a,1597973706100,1598654516900,680810800
16,permit,200,Ex7a,1598654584900,1599330855500,676270600
17,permit,200,Ex7a,1599330921600,1600014370300,683448700
18,permit,200,Ex7a,1600014439500,1600698534000,684094500
19,permit,200,Ex7a,1600698629300,1601381665400,683036100
20,permit,200,Ex7a,1601381741400,1602063136500,681395100
21,permit,200,Ex7a,1602063203500,1602744709500,681506000
22,permit,200,Ex7a,1602744781500,1603421145600,676364100
23,permit,200,Ex7a,1603421212500,1604105964000,684751500
24,permit,200,Ex7a,1604106036300,1604786181800,680145500
25,permit,200,Ex7a,1604786249700,1605464017800,677768100
1,permit,500,Ex7a,1605464108100,1607168687900,1704579800
2,permit,500,Ex7a,1607168754200,1608868199400,1699445200
3,permit,500,Ex7a,1608868308900,1610573349000,1705040100
4,permit,500,Ex7a,1610573418000,1612265369000,1691951000
