Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
13,permit,50,Ex7d,15338064281500,15338959463400,895181900
14,permit,50,Ex7d,15338959579500,15339758908100,799328600
15,permit,50,Ex7d,15339758959100,15340612091800,853132700
16,permit,50,Ex7d,15340612141900,15341517418500,905276600
17,permit,50,Ex7d,15341517571600,15342343522800,825951200
18,permit,50,Ex7d,15342343573800,15343142477600,798903800
19,permit,50,Ex7d,15343142532100,15344060028600,917496500
20,permit,50,Ex7d,15344060134400,15344854300400,794166000
21,permit,50,Ex7d,15344854397700,15345644295900,789898200
22,permit,50,Ex7d,15345644349000,15346397071500,752722500
23,permit,50,Ex7d,15346397118600,15347341976400,944857800
24,permit,50,Ex7d,15347342127500,15348148261500,806134000
25,permit,50,Ex7d,15348148309700,15348895673500,747363800
1,permit,100,Ex7d,15348895779200,15350559153600,1663374400
2,permit,100,Ex7d,15350559269000,15352104670400,1545401400
3,permit,100,Ex7d,15352104725500,15353793992800,1689267300
4,permit,100,Ex7d,15353794096300,15355420574300,1626478000
5,permit,100,Ex7d,15355420627400,15357101350900,1680723500
6,permit,100,Ex7d,15357101460800,15358553239300,1451778500
7,permit,100,Ex7d,15358553290000,15360234293800,1681003800
8,permit,100,Ex7d,15360234392500,15361776463200,1542070700
9,permit,100,Ex7d,15361776580900,15363433880200,1657299300
10,permit,100,Ex7d,15363434034800,15365064734600,1630699800
11,permit,100,Ex7d,15365064853700,15366667868200,1603014500
12,permit,100,Ex7d,15366667982200,15368309870400,1641888200
13,permit,100,Ex7d,15368309976400,15369912781000,1602804600
14,permit,100,Ex7d,15369912892900,15371536201900,1623309000
15,permit,100,Ex7d,15371536306000,15373051170400,1514864400
16,permit,100,Ex7d,15373051224400,15374687534600,1636310200
17,permit,100,Ex7d,15374687655800,15376250434800,1562779000
18,permit,100,Ex7d,15376250512700,15377895283600,1644770900
19,permit,100,Ex7d,15377895422000,15379449841700,1554419700
20,permit,100,Ex7d,15379449888600,15381158176000,1708287400
21,permit,100,Ex7d,15381158274600,15382705484200,1547209600
22,permit,100,Ex7d,15382705540500,15384386968600,1681428100
23,permit,100,Ex7d,15384387072100,15386073721000,1686648900
24,permit,100,Ex7d,15386073842300,15387592195100,1518352800
25,permit,100,Ex7d,15387592246900,15389381100100,1788853200
1,permit,200,Ex7d,15389381256700,15392524190800,3142934100
2,permit,200,Ex7d,15392524324700,15395667316900,3142992200
3,permit,200,Ex7d,15395667431300,15398877606300,3210175000
4,permit,200,Ex7d,15398877705800,15401976361300,3098655500
5,permit,200,Ex7d,15401976475500,15405132436700,3155961200
6,permit,200,Ex7d,15405132551400,15408365827900,3233276500
7,permit,200,Ex7d,15408365939800,15411678696000,3312756200
8,permit,200,Ex7d,15411678818700,15414884831500,3206012800
9,permit,200,Ex7d,15414884937200,15417962072000,3077134800
10,permit,200,Ex7d,15417962234000,15421158286700,3196052700
11,permit,200,Ex7d,15421158386000,15424356754200,3198368200
12,permit,200,Ex7d,15424356854300,15427527967100,3171112800
13,permit,200,Ex7d,15427528069700,15430606020900,3077951200
14,permit,200,Ex7d,15430606123800,15433729237000,3123113200
15,permit,200,Ex7d,15433729353200,15436958103400,3228750200
16,permit,200,Ex7d,15436958203000,15440112785400,3154582400
17,permit,200,Ex7d,15440112885900,15443223925200,3111039300
18,permit,200,Ex7d,15443224064100,15446375028700,3150964600
19,permit,200,Ex7d,15446375159900,15449556898800,3181738900
20,permit,200,Ex7d,15449557000400,15452765817700,3208817300
21,permit,200,Ex7d,15452765918400,15455890980400,3125062000
22,permit,200,Ex7d,15455891092900,15458991108600,3100015700
23,permit,200,Ex7d,15458991209600,15462212092900,3220883300
24,permit,200,Ex7d,15462212212800,15465451939300,3239726500
25,permit,200,Ex7d,15465452053900,15468568225500,3116171600
1,permit,500,Ex7d,15468568355300,15476617911800,8049556500
2,permit,500,Ex7d,15476618055000,15484857450600,8239395600
3,permit,500,Ex7d,15484857570300,15492569553700,7711983400
4,permit,500,Ex7d,15492569667400,15500569194100,7999526700
5,permit,500,Ex7d,15500569302800,15508570904300,8001601500
6,permit,500,Ex7d,15508571018600,15516267991200,7696972600
7,permit,500,Ex7d,15516268092000,15524192137000,7924045000
8,permit,500,Ex7d,15524192235100,15532279835800,8087600700
9,permit,500,Ex7d,15532279950400,15540156192000,7876241600
10,permit,500,Ex7d,15540156342600,15548132062400,7975719800
11,permit,500,Ex7d,15548132160400,15556305573100,8173412700
12,permit,500,Ex7d,15556305694200,15564219889100,7914194900
13,permit,500,Ex7d,15564219997500,15572053218900,7833221400
14,permit,500,Ex7d,15572053319600,15579885769300,7832449700
15,permit,500,Ex7d,15579885877600,15587618400900,7732523300
16,permit,500,Ex7d,15587618499200,15595563287700,7944788500
17,permit,500,Ex7d,15595563389100,15603290773600,7727384500
18,permit,500,Ex7d,15603290873600,15611236012900,7945139300
19,permit,500,Ex7d,15611236146300,15618873248900,7637102600
20,permit,500,Ex7d,15618873367700,15626673890100,7800522400
21,permit,500,Ex7d,15626673995900,15634811004600,8137008700
22,permit,500,Ex7d,15634811124700,15643259987600,8448862900
23,permit,500,Ex7d,15643260086100,15650966936000,7706849900
24,permit,500,Ex7d,15650967060400,15658844083300,7877022900
25,permit,500,Ex7d,15658844198500,15666728793900,7884595400
1,permit,1000,Ex7d,15666728924100,15682490032400,15761108300
2,permit,1000,Ex7d,15682490229100,15698474177500,15983948400
3,permit,1000,Ex7d,15698474278400,15717300680200,18826401800
4,permit,1000,Ex7d,15717300780100,15734155520300,16854740200
5,permit,1000,Ex7d,15734155623400,15750313057200,16157433800
6,permit,1000,Ex7d,15750313158500,15766212784200,15899625700
7,permit,1000,Ex7d,15766212898000,15782133729100,15920831100
8,permit,1000,Ex7d,15782133843100,15798035264600,15901421500
9,permit,1000,Ex7d,15798035366200,15814065244100,16029877900
10,permit,1000,Ex7d,15814065374600,15829681861400,15616486800
11,permit,1000,Ex7d,15829681982100,15845447208600,15765226500
12,permit,1000,Ex7d,15845447325300,15861671866800,16224541500
13,permit,1000,Ex7d,15861671974200,15877683121600,16011147400
14,permit,1000,Ex7d,15877683240800,15893662222700,15978981900
15,permit,1000,Ex7d,15893662324300,15909513705000,15851380700
16,permit,1000,Ex7d,15909513818900,15925354357500,15840538600
17,permit,1000,Ex7d,15925354458000,15941438702600,16084244600
18,permit,1000,Ex7d,15941438825500,15957548220100,16109394600
19,permit,1000,Ex7d,15957548313400,15973728840900,16180527500
20,permit,1000,Ex7d,15973728945000,15989541873400,15812928400
21,permit,1000,Ex7d,15989542008800,16005811095500,16269086700
22,permit,1000,Ex7d,16005811222400,16022096413300,16285190900
23,permit,1000,Ex7d,16022096527100,16037834106800,15737579700
24,permit,1000,Ex7d,16037834286200,16054111728200,16277442000
25,permit,1000,Ex7d,16054111857500,16070035156500,15923299000
1,permit,2000,Ex7d,16070035280300,16102323704700,32288424400
2,permit,2000,Ex7d,16102323857100,16134746356100,32422499000
3,permit,2000,Ex7d,16134746460600,16167138501500,32392040900
4,permit,2000,Ex7d,16167138602600,16199252230700,32113628100
5,permit,2000,Ex7d,16199252347100,16231406353400,32154006300
6,permit,2000,Ex7d,16231406470100,16263610361300,32203891200
7,permit,2000,Ex7d,16263610463400,16296114458600,32503995200
8,permit,2000,Ex7d,16296114568100,16329352395900,33237827800
9,permit,2000,Ex7d,16329352509500,16362062299700,32709790200
10,permit,2000,Ex7d,16362062492900,16395022560500,32960067600
11,permit,2000,Ex7d,16395022679700,16427844091200,32821411500
12,permit,2000,Ex7d,16427844203800,16460791066200,32946862400
13,permit,2000,Ex7d,16460791176899,16493124872299,32333695400
14,permit,2000,Ex7d,16493124977600,16525509861499,32384883899
15,permit,2000,Ex7d,16525509959800,16558953103200,33443143400
16,permit,2000,Ex7d,16558953221400,16591952217800,32998996400
17,permit,2000,Ex7d,16591952318100,16627773102700,35820784600
18,permit,2000,Ex7d,16627773238900,16661444184100,33670945200
19,permit,2000,Ex7d,16661444307500,16694469148100,33024840600
20,permit,2000,Ex7d,16694469262700,16727550292600,33081029900
21,permit,2000,Ex7d,16727550392400,16761002015300,33451622900
22,permit,2000,Ex7d,16761002135800,16794050130600,33047994800
23,permit,2000,Ex7d,16794050227100,16827178674300,33128447200
24,permit,2000,Ex7d,16827178778900,16859994698600,32815919700
25,permit,2000,Ex7d,16859994811100,16892766679400,32771868300
1,permit,5000,Ex7d,16892766869399,16975593411499,82826542100
2,permit,5000,Ex7d,16975593510100,17061423757199,85830247099
3,permit,5000,Ex7d,17061423855300,17145869815300,84445960000
4,permit,5000,Ex7d,17145869918699,17232903730099,87033811400
5,permit,5000,Ex7d,17232903852500,17316656010700,83752158200
6,permit,5000,Ex7d,17316656120000,17403680768400,87024648400
7,permit,5000,Ex7d,17403680883400,17489224309300,85543425900
8,permit,5000,Ex7d,17489224407300,17578122426800,88898019500
9,permit,5000,Ex7d,17578122563300,17665103794500,86981231200
10,permit,5000,Ex7d,17665103903800,17751933328300,86829424500
11,permit,5000,Ex7d,17751933443200,17840929571900,88996128700
12,permit,5000,Ex7d,17840929691900,17933959372500,93029680600
13,permit,5000,Ex7d,17933959501200,18025325433500,91365932300
14,permit,5000,Ex7d,18025325552700,18116616663400,91291110700
15,permit,5000,Ex7d,18116616783900,18207958421900,91341638000
16,permit,5000,Ex7d,18207958541100,18301740765100,93782224000
17,permit,5000,Ex7d,18301740967300,18396726826200,94985858900
18,permit,5000,Ex7d,18396726950300,18493319935500,96592985200
19,permit,5000,Ex7d,18493320038200,18587388624400,94068586200
20,permit,5000,Ex7d,18587388743800,18681671107800,94282364000
21,permit,5000,Ex7d,18681671221500,18774051696000,92380474500
22,permit,5000,Ex7d,18774051816400,18868658681200,94606864800
23,permit,5000,Ex7d,18868658798300,18962410104700,93751306400
24,permit,5000,Ex7d,18962410219300,19058257116600,95846897300
25,permit,5000,Ex7d,19058257216100,19152536436600,94279220500
1,permit,10000,Ex7d,19152536598000,19350287716100,197751118100
2,permit,10000,Ex7d,19350287818900,19551596608800,201308789900
3,permit,10000,Ex7d,19551596716900,19749844061800,198247344900
4,permit,10000,Ex7d,19749844189100,19950543295100,200699106000
5,permit,10000,Ex7d,19950543413500,20150916939800,200373526300
6,permit,10000,Ex7d,20150917053000,20358033703000,207116650000
