Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
16,permit,50,Ex7b,4093561348900,4094014491500,453142600
17,permit,50,Ex7b,4094014547400,4094336022500,321475100
18,permit,50,Ex7b,4094336075900,4094922330200,586254300
19,permit,50,Ex7b,4094922476600,4095254701000,332224400
20,permit,50,Ex7b,4095254753000,4095572226200,317473200
21,permit,50,Ex7b,4095572278000,4095893551800,321273800
22,permit,50,Ex7b,4095893603200,4096212787600,319184400
23,permit,50,Ex7b,4096212839000,4096534820199,321981199
24,permit,50,Ex7b,4096534902499,4096858863800,323961301
25,permit,50,Ex7b,4096858917300,4097182065500,323148200
1,permit,100,Ex7b,4097182140400,4097822762699,640622299
2,permit,100,Ex7b,4097822827300,4098617562499,794735199
3,permit,100,Ex7b,4098617621800,4099497368500,879746700
4,permit,100,Ex7b,4099497482500,4100144889100,647406600
5,permit,100,Ex7b,4100144942600,4100780040900,635098300
6,permit,100,Ex7b,4100780096900,4101424467300,644370400
7,permit,100,Ex7b,4101424534699,4102071831500,647296801
8,permit,100,Ex7b,4102071933200,4102872731200,800798000
9,permit,100,Ex7b,4102872789500,4103728139600,855350100
10,permit,100,Ex7b,4103728253900,4104358791900,630538000
11,permit,100,Ex7b,4104358845300,4104993257200,634411900
12,permit,100,Ex7b,4104993309700,4105627841400,634531700
13,permit,100,Ex7b,4105627892300,4106395040000,767147700
14,permit,100,Ex7b,4106395090899,4107274112899,879022000
15,permit,100,Ex7b,4107274226400,4107903379800,629153400
16,permit,100,Ex7b,4107903432700,4108532482300,629049600
17,permit,100,Ex7b,4108532570300,4109182701900,650131600
18,permit,100,Ex7b,4109182760699,4109893838000,711077301
19,permit,100,Ex7b,4109893906000,4110670581499,776675499
20,permit,100,Ex7b,4110670635000,4111511986200,841351200
21,permit,100,Ex7b,4111512099100,4112172042100,659943000
22,permit,100,Ex7b,4112172104999,4112817917100,645812101
23,permit,100,Ex7b,4112817969900,4113459318299,641348399
24,permit,100,Ex7b,4113459370800,4114100362700,640991900
25,permit,100,Ex7b,4114100427399,4114876704200,776276801
1,permit,200,Ex7b,4114876818900,4116348195499,1471376599
2,permit,200,Ex7b,4116348315800,4117603326000,1255010200
3,permit,200,Ex7b,4117603379400,4119202819500,1599440100
4,permit,200,Ex7b,4119202953300,4120477082499,1274129199
5,permit,200,Ex7b,4120477232299,4121741513199,1264280900
6,permit,200,Ex7b,4121741565900,4123329089400,1587523500
7,permit,200,Ex7b,4123329231900,4124584619600,1255387700
8,permit,200,Ex7b,4124584680000,4125883509100,1298829100
9,permit,200,Ex7b,4125883565600,4127529838100,1646272500
10,permit,200,Ex7b,4127530046799,4128854353200,1324306401
11,permit,200,Ex7b,4128854408800,4130138412800,1284004000
12,permit,200,Ex7b,4130138466200,4131830112100,1691645900
13,permit,200,Ex7b,4131830238200,4133159211700,1328973500
14,permit,200,Ex7b,4133159264300,4134495299000,1336034700
15,permit,200,Ex7b,4134495363799,4136125255500,1629891701
16,permit,200,Ex7b,4136125369999,4137376802900,1251432901
17,permit,200,Ex7b,4137376862000,4138665810100,1288948100
18,permit,200,Ex7b,4138665863100,4140288824600,1622961500
19,permit,200,Ex7b,4140288970100,4141534894300,1245924200
20,permit,200,Ex7b,4141534948800,4142822556100,1287607300
21,permit,200,Ex7b,4142822607700,4144461022900,1638415200
22,permit,200,Ex7b,4144461155900,4145739015800,1277859900
23,permit,200,Ex7b,4145739077200,4147014344100,1275266900
24,permit,200,Ex7b,4147014403600,4148610909400,1596505800
25,permit,200,Ex7b,4148611037300,4149864600600,1253563300
1,permit,500,Ex7b,4149864689500,4153433404900,3568715400
2,permit,500,Ex7b,4153433553600,4156911584200,3478030600
3,permit,500,Ex7b,4156911700300,4160393552800,3481852500
4,permit,500,Ex7b,4160393666000,4163997079400,3603413400
5,permit,500,Ex7b,4163997208400,4167608093200,3610884800
6,permit,500,Ex7b,4167608232300,4171130864900,3522632600
7,permit,500,Ex7b,4171130982800,4174734033400,3603050600
8,permit,500,Ex7b,4174734174500,4178292485900,3558311400
